first_name,last_name,position,hourly_rate,hours_worked,salary
Aaron,AaronAaron,Staff,15.0,160,2400.0
Abdul,AbbottAbbott,Staff,15.0,160,2400.0
Abe,AbelAbel,Staff,15.0,160,2400.0
Abel,AbellAbell,Staff,15.0,160,2400.0
Abraham,AbernathyAbernathy,Staff,15.0,160,2400.0
Abram,AbneyAbney,Staff,15.0,160,2400.0
Adalberto,AbrahamAbraham,Staff,15.0,160,2400.0
Adam,AbramsAbrams,Staff,15.0,160,2400.0
Adan,AbreuAbreu,Staff,15.0,160,2400.0
Adolfo,AcevedoAcevedo,Staff,15.0,160,2400.0
Adolph,AckerAcker,Staff,15.0,160,2400.0
Adrian,AckermanAckerman,Staff,15.0,160,2400.0
Agustin,AcostaAcosta,Staff,15.0,160,2400.0
Ahmad,AcunaAcuna,Staff,15.0,160,2400.0
Ahmed,AdairAdair,Staff,15.0,160,2400.0
Al,AdamAdam,Staff,15.0,160,2400.0
Alan,AdameAdame,Staff,15.0,160,2400.0
Albert,AdamsAdams,Staff,15.0,160,2400.0
Alberto,AdamsonAdamson,Staff,15.0,160,2400.0
Alden,AdcockAdcock,Staff,15.0,160,2400.0
Aldo,AddisonAddison,Staff,15.0,160,2400.0
Alec,AdkinsAdkins,Staff,15.0,160,2400.0
Alejandro,AdlerAdler,Staff,15.0,160,2400.0
Alex,AgeeAgee,Staff,15.0,160,2400.0
Alexander,AgnewAgnew,Staff,15.0,160,2400.0
Alexis,AguiarAguiar,Staff,15.0,160,2400.0
Alfonso,AguilarAguilar,Staff,15.0,160,2400.0
Alfonzo,AguileraAguilera,Staff,15.0,160,2400.0
Alfred,AguirreAguirre,Staff,15.0,160,2400.0
Alfredo,AhernAhern,Staff,15.0,160,2400.0
Ali,AhmedAhmed,Staff,15.0,160,2400.0
Allan,AhrensAhrens,Staff,15.0,160,2400.0
Allen,AielloAiello,Staff,15.0,160,2400.0
Alonso,AikenAiken,Staff,15.0,160,2400.0
Alonzo,AinsworthAinsworth,Staff,15.0,160,2400.0
Alphonse,AkersAkers,Staff,15.0,160,2400.0
Alphonso,AkinAkin,Staff,15.0,160,2400.0
Alton,AkinsAkins,Staff,15.0,160,2400.0
Alva,AlanizAlaniz,Staff,15.0,160,2400.0
Alvaro,AlarconAlarcon,Staff,15.0,160,2400.0
Alvin,AlbaAlba,Staff,15.0,160,2400.0
Amado,AlbersAlbers,Staff,15.0,160,2400.0
Ambrose,AlbertAlbert,Staff,15.0,160,2400.0
Amos,AlbertsonAlbertson,Staff,15.0,160,2400.0
Anderson,AlbrechtAlbrecht,Staff,15.0,160,2400.0
Andre,AlbrightAlbright,Staff,15.0,160,2400.0
